date,rest,website
2023-03-05 16:22:24.080303+01:00,0.61739130434783,71.0
2023-03-05 16:27:25.137958+01:00,0.61739130434783,71.0
2023-03-05 16:32:26.286002+01:00,0.59130434782609,68.0
2023-03-05 16:37:27.453458+01:00,0.60869565217391,70.0
2023-03-05 16:42:28.583958+01:00,0.6,69.0
2023-03-05 16:47:29.706429+01:00,0.67826086956522,78.0
2023-03-05 16:52:30.927289+01:00,0.71304347826087,82.0
2023-03-05 16:57:32.167441+01:00,0.70434782608696,81.0
2023-03-05 17:02:33.392708+01:00,0.75652173913043,87.0
2023-03-05 17:07:34.584724+01:00,0.77391304347826,89.0
2023-03-05 17:12:35.686908+01:00,0.78260869565217,90.0
2023-03-05 17:17:36.767128+01:00,0.80869565217391,93.0
2023-03-05 17:22:37.916727+01:00,0.8,92.0
2023-03-05 17:27:39.025088+01:00,0.79130434782609,91.0
2023-03-05 17:32:40.137827+01:00,0.79130434782609,91.0
2023-03-05 17:37:41.339441+01:00,0.84347826086957,97.0
2023-03-05 17:42:42.719663+01:00,0.8695652173913,100.0
2023-03-05 17:47:43.852002+01:00,0.85217391304348,98.0
2023-03-05 17:52:45.115767+01:00,0.85217391304348,98.0
2023-03-05 17:57:46.195582+01:00,0.83478260869565,96.0
2023-03-05 18:02:47.353742+01:00,0.84347826086957,97.0
2023-03-05 18:07:48.492287+01:00,0.81739130434783,94.0
2023-03-05 18:12:49.565403+01:00,0.78260869565217,90.0
2023-03-05 18:17:50.762689+01:00,0.70434782608696,81.0
2023-03-05 18:22:51.889162+01:00,0.6695652173913,77.0
2023-03-05 18:27:53.033626+01:00,0.63478260869565,73.0
2023-03-05 18:32:54.076669+01:00,0.62608695652174,72.0
2023-03-05 18:37:55.219802+01:00,0.55652173913043,64.0
2023-03-05 18:42:56.339303+01:00,0.48695652173913,56.0
2023-03-05 18:47:57.407030+01:00,0.45217391304348,52.0
2023-03-05 18:52:58.686743+01:00,0.4,46.0
2023-03-05 18:57:59.801366+01:00,0.30434782608696,35.0
2023-03-05 19:03:00.977387+01:00,0.11304347826087,13.0
2023-03-05 19:08:02.256367+01:00,0.0,0.0
2023-03-05 19:13:03.349676+01:00,0.0,0.0
2023-03-05 19:18:04.400725+01:00,0.0,0.0
2023-03-05 19:23:05.568658+01:00,0.0,0.0
2023-03-05 19:28:06.716459+01:00,0.0,0.0
2023-03-05 19:33:07.808945+01:00,0.0,0.0
2023-03-05 19:38:09.044934+01:00,0.0,0.0
2023-03-05 19:43:10.177651+01:00,0.0,0.0
2023-03-05 19:48:11.380240+01:00,0.0,0.0
2023-03-05 19:53:12.710231+01:00,0.0,0.0
2023-03-05 19:58:13.882439+01:00,0.0,0.0
2023-03-05 20:03:15.032643+01:00,0.0,0.0
2023-03-05 20:08:16.102041+01:00,0.0,0.0
2023-03-05 20:13:17.232008+01:00,0.0,0.0
2023-03-05 20:18:18.425109+01:00,0.0,0.0
2023-03-05 20:23:19.549981+01:00,0.0,0.0
2023-03-05 20:28:20.602291+01:00,0.0,0.0
2023-03-05 20:33:21.615876+01:00,0.0,0.0
2023-03-05 20:38:22.845394+01:00,0.0,0.0
2023-03-05 20:43:25.516516+01:00,0.0,0.0
2023-03-05 20:48:27.143179+01:00,0.0,0.0
2023-03-05 20:53:28.418901+01:00,0.0,0.0
2023-03-05 20:58:29.511069+01:00,0.0,0.0
2023-03-05 21:03:30.660736+01:00,0.0,0.0
2023-03-05 21:08:31.942235+01:00,0.0,0.0
2023-03-05 21:13:33.227484+01:00,0.0,0.0
2023-03-05 21:18:34.192268+01:00,0.0,0.0
2023-03-05 21:23:35.383797+01:00,0.0,0.0
2023-03-05 21:28:36.557242+01:00,0.0,0.0
2023-03-05 21:33:37.633364+01:00,0.0,0.0
2023-03-05 21:38:38.833077+01:00,0.0,0.0
2023-03-05 21:43:39.982732+01:00,0.0,0.0
2023-03-05 21:48:41.059873+01:00,0.0,0.0
2023-03-05 21:53:42.346818+01:00,0.0,0.0
2023-03-05 21:58:43.449889+01:00,0.0,0.0
2023-03-05 22:03:44.658998+01:00,0.0,0.0
2023-03-05 22:08:45.840256+01:00,0.0,0.0
2023-03-05 22:13:47.015083+01:00,0.0,0.0
2023-03-05 22:18:48.130893+01:00,0.0,0.0
2023-03-05 22:23:49.401102+01:00,0.0,0.0
2023-03-05 22:28:50.500667+01:00,0.0,0.0
2023-03-05 22:33:51.685115+01:00,0.0,0.0
2023-03-05 22:38:52.769956+01:00,0.0,0.0
2023-03-05 22:43:53.853853+01:00,0.0,0.0
2023-03-05 22:48:55.174831+01:00,0.0,0.0
2023-03-05 22:53:56.543694+01:00,0.0,0.0
2023-03-05 22:58:58.041040+01:00,0.0,0.0
2023-03-05 23:03:59.263864+01:00,0.0,0.0
2023-03-05 23:09:00.868054+01:00,0.0,0.0
2023-03-05 23:14:01.951088+01:00,0.0,0.0
2023-03-05 23:19:03.079946+01:00,0.0,0.0
2023-03-05 23:24:04.245020+01:00,0.0,0.0
2023-03-05 23:29:05.253077+01:00,0.0,0.0
2023-03-05 23:34:06.379788+01:00,0.0,0.0
2023-03-05 23:39:07.605205+01:00,0.0,0.0
2023-03-05 23:44:08.881964+01:00,0.0,0.0
2023-03-05 23:49:10.160751+01:00,0.0,0.0
2023-03-05 23:54:11.379366+01:00,0.0,0.0
2023-03-05 23:59:12.412510+01:00,0.0,0.0
2023-03-06 06:00:01.130263+01:00,0.0,0.0
2023-03-06 06:05:02.291530+01:00,0.0,0.0
2023-03-06 06:10:03.372907+01:00,0.0,0.0
2023-03-06 06:15:04.824505+01:00,0.0,0.0
2023-03-06 06:20:05.942810+01:00,0.0,0.0
2023-03-06 06:25:07.038393+01:00,0.0,0.0
2023-03-06 06:30:08.148154+01:00,0.0,0.0
2023-03-06 06:35:09.186281+01:00,0.0,0.0
2023-03-06 06:40:10.252752+01:00,0.0,0.0
2023-03-06 06:45:11.663481+01:00,0.0,0.0
2023-03-06 06:50:12.734682+01:00,0.0,0.0
2023-03-06 06:55:13.809107+01:00,0.0,0.0
2023-03-06 07:00:14.995167+01:00,0.017391304347826,2.0
2023-03-06 07:05:16.169241+01:00,0.043478260869565,5.0
2023-03-06 07:10:17.248436+01:00,0.13913043478261,16.0
2023-03-06 07:15:18.363450+01:00,0.16521739130435,19.0
2023-03-06 07:20:19.661913+01:00,0.19130434782609,22.0
2023-03-06 07:25:20.715442+01:00,0.20869565217391,24.0
2023-03-06 07:30:21.841718+01:00,0.21739130434783,25.0
2023-03-06 07:35:22.902928+01:00,0.21739130434783,25.0
2023-03-06 07:40:24.073898+01:00,0.22608695652174,26.0
2023-03-06 07:45:25.230983+01:00,0.23478260869565,27.0
2023-03-06 07:50:26.317349+01:00,0.24347826086957,28.0
2023-03-06 07:55:27.476892+01:00,0.25217391304348,29.0
2023-03-06 08:00:28.640411+01:00,0.24347826086957,28.0
2023-03-06 08:05:29.817365+01:00,0.25217391304348,29.0
2023-03-06 08:10:31.294155+01:00,0.28695652173913,33.0
2023-03-06 08:15:32.526548+01:00,0.31304347826087,36.0
2023-03-06 08:20:33.577721+01:00,0.31304347826087,36.0
2023-03-06 08:25:34.728012+01:00,0.30434782608696,35.0
2023-03-06 08:30:35.867414+01:00,0.28695652173913,33.0
2023-03-06 08:35:37.110071+01:00,0.27826086956522,32.0
